site,CapacityDC_kW,CapacityAC_kW,row,col
1,996.48,875,832,863
2,199.88,175,849,850
3,992.25,875,852,864
4,425.25,375,853,870
5,992.25,875,849,884
6,399.75,325,843,859
7,587.52,525,738,861
8,996.48,875,815,869
9,789.12,700,594,843
10,408.96,324,843,859
11,992.25,875,852,864
12,996.48,875,728,1064
13,432,375,804,1114
14,608,500,1112,789
15,996.48,900,586,806
16,996.48,900,858,825
17,766.08,684,777,1006
18,702.72,648,673,1038
19,996.48,900,659,822
20,846.72,756,567,781
21,633.6,576,636,1010
22,581.76,500,715,986
23,806.4,720,871,888
24,997.92,850,912,951
25,996.48,900,730,947
26,564.48,504,764,933
27,996.48,900,558,777
28,593.28,540,563,774
29,997.92,850,1164,775
30,875.52,792,778,949
31,478.08,468,610,1044
32,996.03,840,787,872
33,996.48,900,836,874
34,828.63,660,1145,832
35,996.48,900,843,839
36,996.48,900,825,869
37,887.04,792,884,832
38,997.92,850,695,898
39,512.64,468,637,1041
40,996.48,900,894,884
41,576,540,741,1046
42,915.84,828,831,876
43,552.96,504,738,895
44,443.52,396,860,956
45,400,400,882,885
46,500,400,854,878
47,453.6,360,847,864
48,316.8,252,847,864
49,478.8,360,883,888
50,255.36,216,884,888
51,574.56,504,883,888
52,410.4,360,883,888
53,998.64,864,884,888
54,229.155,190.8,884,888
55,995.4,828,883,888
56,935.55,825,860,842
57,,8,847,864
58,,34200,822,865
59,,126126,754,852
60,,133920,655,841
61,,73000,772,884
62,,52000,774,874
63,,41000,773,877
