Datetime,Generated power_44 (kW),Ambient temperature_62 (degree C),Irradiance_80 (W/m2),PV module temperature_263 (C)
2023-01-01 00:00:00,0.0000000000,36.0000000000,0.0000000000,20.4500000000
2023-01-01 00:15:00,0.0000000000,36.0000000000,0.0000000000,20.3000000000
2023-01-01 00:30:00,0.0000000000,35.0000000000,0.0000000000,20.0166700000
2023-01-01 00:45:00,0.0000000000,34.0000000000,0.0000000000,19.9500000000
2023-01-01 01:00:00,0.0000000000,34.0000000000,0.0000000000,20.1000000000
2023-01-01 01:15:00,0.0000000000,34.0000000000,0.0000000000,19.9000000000
2023-01-01 01:30:00,0.0000000000,32.0000000000,0.0000000000,19.5666700000
2023-01-01 01:45:00,0.0000000000,34.0000000000,0.0000000000,19.2166700000
2023-01-01 02:00:00,0.0000000000,35.0000000000,0.0000000000,19.2833300000
2023-01-01 02:15:00,0.0000000000,34.0000000000,0.0000000000,19.7333300000
2023-01-01 02:30:00,0.0000000000,34.0000000000,0.0000000000,19.8000000000
2023-01-01 02:45:00,0.0000000000,34.0000000000,0.0000000000,19.5166700000
2023-01-01 03:00:00,0.0000000000,34.0000000000,0.0000000000,19.1666700000
2023-01-01 03:15:00,0.0000000000,34.0000000000,0.0000000000,19.1333300000
2023-01-01 03:30:00,0.0000000000,33.0000000000,0.0000000000,19.3666700000
2023-01-01 03:45:00,0.0000000000,34.0000000000,0.0000000000,19.1833300000
2023-01-01 04:00:00,0.0000000000,33.0000000000,0.0000000000,18.8833300000
2023-01-01 04:15:00,0.0000000000,33.0000000000,0.0000000000,18.3833300000
2023-01-01 04:30:00,0.0000000000,33.0000000000,0.0000000000,17.9500000000
2023-01-01 04:45:00,0.0000000000,32.0000000000,0.0000000000,17.9166700000
2023-01-01 05:00:00,0.0000000000,32.0000000000,0.0000000000,18.0500000000
2023-01-01 05:15:00,0.0000000000,33.0000000000,0.0000000000,17.9333300000
2023-01-01 05:30:00,0.0000000000,32.0000000000,0.0000000000,17.5166700000
2023-01-01 05:45:00,0.0000000000,32.0000000000,0.0000000000,17.2333300000
2023-01-01 06:00:00,0.0000000000,32.0000000000,0.0000000000,17.3500000000
2023-01-01 06:15:00,0.0000000000,33.0000000000,0.0000000000,17.3000000000
2023-01-01 06:30:00,0.0000000000,32.0000000000,1.5967860000,16.9333300000
2023-01-01 06:45:00,20.0000000000,32.0000000000,15.8227000000,16.8333300000
2023-01-01 07:00:00,44.0000000000,32.0000000000,42.0245000000,17.8333300000
2023-01-01 07:15:00,88.0000000000,32.0000000000,50.9519800000,19.8500000000
2023-01-01 07:30:00,116.0000000000,32.0000000000,126.5090000000,22.4833300000
2023-01-01 07:45:00,160.0000000000,33.0000000000,239.3002000000,24.7666700000
2023-01-01 08:00:00,212.0000000000,34.0000000000,302.5909000000,26.9333300000
2023-01-01 08:15:00,260.0000000000,33.0000000000,368.4220000000,28.6833300000
2023-01-01 08:30:00,312.0000000000,33.0000000000,426.4144000000,30.3833300000
2023-01-01 08:45:00,356.0000000000,33.0000000000,483.6084000000,33.0333300000
2023-01-01 09:00:00,400.0000000000,34.0000000000,534.7781000000,34.7166700000
2023-01-01 09:15:00,440.0000000000,34.0000000000,580.7220000000,36.4833300000
2023-01-01 09:30:00,472.0000000000,35.0000000000,622.8917000000,39.3666600000
2023-01-01 09:45:00,500.0000000000,36.0000000000,662.0855000000,41.8333300000
2023-01-01 10:00:00,532.0000000000,36.0000000000,698.5212000000,43.1500000000
2023-01-01 10:15:00,548.0000000000,37.0000000000,732.5618000000,44.9666700000
2023-01-01 10:30:00,564.0000000000,37.0000000000,756.3685000000,46.1666700000
2023-01-01 10:45:00,584.0000000000,37.0000000000,777.1266000000,47.1333400000
2023-01-01 11:00:00,560.0000000000,36.0000000000,773.0621000000,46.9666700000
2023-01-01 11:15:00,580.0000000000,36.0000000000,737.4973000000,44.8166700000
2023-01-01 11:30:00,640.0000000000,38.0000000000,858.4902000000,48.2500000000
2023-01-01 11:45:00,624.0000000000,38.0000000000,842.7401000000,49.8000000000
2023-01-01 12:00:00,628.0000000000,39.0000000000,844.1191000000,48.1500000000
2023-01-01 12:15:00,612.0000000000,38.0000000000,822.4174000000,48.4500000000
2023-01-01 12:30:00,612.0000000000,39.0000000000,815.8850000000,47.4833300000
2023-01-01 12:45:00,600.0000000000,39.0000000000,819.6592000000,47.4166700000
2023-01-01 13:00:00,592.0000000000,39.0000000000,792.8043000000,46.1666700000
2023-01-01 13:15:00,572.0000000000,40.0000000000,775.9653000000,47.0500000000
2023-01-01 13:30:00,556.0000000000,40.0000000000,753.6104000000,46.4500000000
2023-01-01 13:45:00,544.0000000000,40.0000000000,732.7796000000,47.8500000000
2023-01-01 14:00:00,496.0000000000,41.0000000000,672.1017000000,47.5000000000
2023-01-01 14:15:00,456.0000000000,41.0000000000,601.2625000000,44.9833300000
2023-01-01 14:30:00,436.0000000000,42.0000000000,604.3109000000,43.3500000000
2023-01-01 14:45:00,416.0000000000,40.0000000000,571.4316000000,42.6500000000
2023-01-01 15:00:00,344.0000000000,42.0000000000,472.8664000000,43.0333300000
2023-01-01 15:15:00,288.0000000000,40.0000000000,395.7126000000,39.9500000000
2023-01-01 15:30:00,272.0000000000,40.0000000000,385.2609000000,36.9500000000
2023-01-01 15:45:00,244.0000000000,40.0000000000,350.2768000000,36.3500000000
2023-01-01 16:00:00,188.0000000000,42.0000000000,282.4134000000,34.7166700000
2023-01-01 16:15:00,156.0000000000,41.0000000000,235.9614000000,32.3333300000
2023-01-01 16:30:00,112.0000000000,39.0000000000,178.9126000000,30.7833300000
2023-01-01 16:45:00,72.0000000000,40.0000000000,118.6702000000,29.2666700000
2023-01-01 17:00:00,48.0000000000,40.0000000000,82.7425400000,28.0000000000
2023-01-01 17:15:00,32.0000000000,38.0000000000,47.9035800000,26.8833300000
2023-01-01 17:30:00,16.0000000000,39.0000000000,19.4517600000,25.8833300000
2023-01-01 17:45:00,0.0000000000,39.0000000000,3.9919650000,24.9666700000
